,smiles
0,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCC(CC4)O)NC1
1,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)Cl)NC1
2,COC(=O)C1=C(C=CC(=C1)CC2=NNC(=O)C3=C2NCCC3)F
3,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)N)NC1
4,CCNC(=O)C1=C(C=CC(=C1)CC2=NNC(=O)C3=C2NCCC3)F
5,C1CCN(C1)CCNC(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F
6,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C(=O)N5CCOCC5)NC1
7,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)NC4CC4)NC1
8,CCOCCN1CCN(CC1)C(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F
9,C1CCN(CC1)CCNC(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F
10,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C5=CC=CC=N5)NC1
11,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C5=CC=CC=C5)NC1
12,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCC(CC4)NC(=O)C5=CNN=C5)NC1
13,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCC(CC4)NC(=O)C5=CSC=N5)NC1
14,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCC(CC4)NC(=O)C5=CC=CO5)NC1
15,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCC(CC4)NC(=O)C5=CC6=C(C=C5)C=NN6)NC1
16,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCC(CC4)NC(=O)C5=CC=NC=C5)NC1
17,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCC(CC4)NC(=O)C5=CN=CC=C5)NC1
18,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCC(CC4)NC(=O)C5=CC=CC=N5)NC1
19,C1CC[C@@H]([C@H](C1)N)NC(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F
20,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)NC4CCN(CC4)C(=O)C5=CC=NC=C5)NC1
21,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)NC4CCN(CC4)C(=O)C5=CC=CC=N5)NC1
22,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)NC4CCN(CC4)C(=O)C5=CNN=C5)NC1
23,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)NC4CCN(CC4)C(=O)C5=CSC=N5)NC1
24,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)NC4CCN(CC4)C(=O)C5=CC=CO5)NC1
25,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)NC4CCN(CC4)C(=O)C5=CN=CC=C5)NC1
26,CN(C1CCN(CC1)C(=O)C2=CNN=C2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=C4NCCC5)F
27,CN(C1CCN(CC1)C(=O)C2=CSC=N2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=C4NCCC5)F
28,CN(C1CCN(CC1)C(=O)C2=CC=CO2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=C4NCCC5)F
29,CN(C1CCN(CC1)C(=O)C2=CC=NC=C2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=C4NCCC5)F
30,CN(C1CCN(CC1)C(=O)C2=CN=CC=C2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=C4NCCC5)F
31,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)NC4CCC(CC4)O)NC1
32,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCC(CC4)N)NC1
33,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)NC4CCNCC4)NC1
34,CN(C1CCNCC1)C(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F
35,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C(=O)C5=CSC=N5)NC1
36,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C(=O)C5=CC=NN5)NC1
37,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCCN(CC4)C(=O)C5=CSC=N5)NC1
38,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCCN(CC4)C(=O)C5=CC=NN5)NC1
39,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCCN(CC4)C(=O)[C@@H]5CSCN5)NC1
40,CC(C)(C)OC(=O)NC1CCN(CC1)C(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F
41,CC(C)(C)OC(=O)N1CCC(CC1)NC(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F
42,CC(C)(C)OC(=O)N1CCC(CC1)N(C)C(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F
43,CN1CCN(CC1=O)C(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F
44,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C5=CN=CN=C5)NC1
45,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C5=CN=CC=C5)NC1
46,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCCN(CC4)C(=O)C5=NC=CN=C5)NC1
47,CC1(C(NCS1)C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=C4NCCC5)F)C
48,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCC(CC4)C(=O)C5=CC=C(C=C5)F)NC1
49,CC(C)N1C2=C(C=C(C=C2)C(=O)N3CCCN(CC3)C(=O)C4=C(C=CC(=C4)CC5=NNC(=O)C6=C5NCCC6)F)N=N1
50,CC1=NC2=C(N1)C=C(C=C2)C(=O)N3CCCN(CC3)C(=O)C4=C(C=CC(=C4)CC5=NNC(=O)C6=C5NCCC6)F
51,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCCN(CC4)C(=O)C5=CC6=CC=CC=C6N=C5)NC1
52,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCCN(CC4)C(=O)C5=NC6=CC=CC=C6C=C5)NC1
53,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCCN(CC4)C(=O)C5=CC6=C(C=C5)N=CN6)NC1
54,C1CC(C1)NC(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F
55,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C(=O)C5CC5)NC1
56,CN1CCCN(CC1)C(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F
57,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C5=CC=NC=C5)NC1
58,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C5=NC=CN=C5)NC1
59,CN(C)C(=O)N1CCN(CC1)C(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F
60,CN(C)CCN(C)C(=O)C1=C(C=CC(=C1)CC2=NNC(=O)C3=C2NCCC3)F
61,CN1CCN(CC1)C(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F
62,C1CC(CN(C1)C(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F)C(=O)N
63,C1CCN(C1)C(=O)CN2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=C4NCCC5)F
64,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCC(CC4)C(=O)N)NC1
65,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)CCO)NC1
66,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C5=NC=CC=N5)NC1
67,C1CCC2=C(C1)C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCC(CC4)O
68,C1CCN(CC1)C(=O)CNC(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F
69,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C5=NC=NC=N5)NC1
70,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C(=O)C5=CC=CC=N5)NC1
71,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C(=O)C5=CNC(=O)C=C5)NC1
72,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C(=O)C5=CC6=C(C=C5)C=CN6)NC1
73,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C(=O)COC5=CC=CC=C5)NC1
74,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C5=C(C=C(C=C5)F)F)NC1
75,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCCN(CC4)C(=O)C5=CN=CN=C5)NC1
76,COC1=CC=C(C=C1)C(=O)C2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=C4NCCC5)F
77,COC1=CC=C(C=C1)S(=O)(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=C4NCCC5)F
78,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C5=CC=CC=C5F)NC1
79,CN(C)C(=O)CN1CCN(CC1)C(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F
80,CN1CCN(CC1)C2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=C4NCCC5)F
81,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C(=O)C5=NC=C(C=C5)Cl)NC1
82,CC1=CN=CC(=N1)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=C4NCCC5)F
83,CC(C)N1C2=C(C=C(C=C2)C(=O)N3CCN(CC3)C(=O)C4=C(C=CC(=C4)CC5=NNC(=O)C6=C5NCCC6)F)N=C1C(F)(F)F
84,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCCN(CC4)C(=O)OCC5=CC=CC=C5)NC1
85,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCNC[C@H]4C5=CC=CC=C5)NC1
86,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C(=O)C5=CC=CC=C5)NC1
87,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCC(CC4)C(=O)C5=CC=CC=C5)NC1
88,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C(=O)C5COC6=CC=CC=C6O5)NC1
89,CC(C)(C)OC(=O)N1CCCN(C1)C(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F
90,CCN(C1CCN(C1)C(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F)C(=O)C
91,CN(C)CCCN1CCCN(C1)C(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F
92,CCN(CC)C(=O)N1CCN(CC1)C(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F
93,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C(=O)C5=CN=CC=C5)NC1
94,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C5=CC(=CC=C5)F)NC1
95,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C(=O)[C@@H]5CSCN5)NC1
96,C1CCN(C1)C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=C4NCCC5)F
97,C1CCC(C1)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=C4NCCC5)F
98,C1CCN(CC1)CCN2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=C4NCCC5)F
99,CC(=O)N1CCN(CC1)C(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F
100,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C(=O)C5=NC6=CC=CC=C6C=C5)NC1
101,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCCN(CC4)C(=O)C5=CN=CC=C5)NC1
102,C1CCC(CC1)C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=C4NCCC5)F
103,C[C@@H]1CN(CCN1C(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F)C(=O)C5=CC=CC=C5
104,COC1=CC=CC=C1N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=C4NCCC5)F
105,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)CCN5CCOCC5)NC1
106,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C(=O)C5=CN=CN=C5)NC1
107,CN(C)CCN1CCN(CC1)C(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F
108,COC1=CC=C(C=C1)C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=C4NCCC5)F
109,CCS(=O)(=O)N1CCN(CC1)C(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F
110,CC(C)N1C2=C(C=C(C=C2)C(=O)N3CCN(CC3)C(=O)C4=C(C=CC(=C4)CC5=NNC(=O)C6=C5NCCC6)F)N=N1
111,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C(=O)C5=NC=CN=C5)NC1
112,CC(C)(C)C(=O)N1CCN(CC1)C(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F
113,CC1=NC2=C(N1)C=C(C=C2)C(=O)N3CCN(CC3)C(=O)C4=C(C=CC(=C4)CC5=NNC(=O)C6=C5NCCC6)F
114,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)S(=O)(=O)C5=CC=CC=C5)NC1
115,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C5=CC=CC=C5Cl)NC1
116,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C(=O)C5=CC=NC=C5)NC1
117,C1CC(OC1)C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=C4NCCC5)F
118,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C(=O)C5=CC=CO5)NC1
119,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCC(CC4)C(=O)C5=CC(=CC=C5)Cl)NC1
120,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C(=O)C5=CC6=CC=CC=C6N=C5)NC1
121,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCCN(CC4)C(=O)C5=CC=CO5)NC1
122,CC(=O)N(C)C1CCN(C1)C(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F
123,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C(=O)OCC5=CC=CC=C5)NC1
124,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCCN(CC4)C(=O)C5=CC=NC=C5)NC1
125,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C(=O)C5=CC6=C(C=C5)N=CN6)NC1
126,CC1(C(=O)NCCN1C(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F)C
127,C1CCN(CC1)C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=C4NCCC5)F
128,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C5=CC=C(C=C5)F)NC1
129,CCOC(=O)N1CCN(CC1)C(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F
130,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)CCOC5=CC=CC=C5)NC1
131,CC(C)C(=O)N1CCN(CC1)C(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F
132,CS(=O)(=O)N1CCN(CC1)C(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F
133,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCNCC4)NC1
134,COC1=CC=C(C=C1)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=C4NCCC5)F
135,CCC(=O)N1CCN(CC1)C(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=C3NCCC4)F
136,C1CCC(C1)C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=C4NCCC5)F
137,CN(C1CCN(CC1)C(=O)C2=CC=CC=N2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=C4NCCC5)F
138,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCNC(=O)C4)NC1
139,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCCN(CC4)C(=O)C5=CC=CC=N5)NC1
140,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C5=CC=CC(=C5)C(F)(F)F)NC1
141,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N)NC1
142,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C(=O)C(F)(F)F)NC1
143,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C(=O)C5=CC(=C(N=C5)Cl)O)NC1
144,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C(=O)C5=CN=C(C=C5)Cl)NC1
145,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(CC4)C(=O)C5=C(N=CC=C5)Cl)NC1
146,C1CC2=C(C(=NNC2=O)CC3=CC(=C(C=C3)F)C(=O)N4CCN(C(C4)N5CCOCC5)C=O)NC1
